                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9845,                 1.8992,                 1.8843,                0.57451,                 0.1802,                0.16055,                0.06285,                  2.512,                 2.0254,                 2.2364,             0.00046912,             0.00046912,             0.00046912
                      2,                 1.8272,                 1.7891,                 1.7347,                0.64879,                 0.1922,                0.16511,                   0.07,                 2.3011,                 2.0883,                 2.1257,             0.00088305,             0.00088305,             0.00088305
                      3,                 1.8238,                 1.8449,                 1.7111,                0.53542,                0.22886,                0.18876,                0.08137,                 2.2638,                  2.485,                 2.0955,              0.0012341,              0.0012341,              0.0012341
                      4,                 1.7409,                 1.7613,                 1.6463,                0.56657,                0.19919,                0.18532,                0.07684,                 2.1183,                 2.0704,                 2.0154,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.6624,                 1.7431,                 1.6186,                0.62275,                0.19099,                0.21942,                0.09078,                 2.1007,                 2.1667,                 1.9697,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.7722,                 1.7952,                 1.6852,                0.62024,                0.27437,                 0.2683,                0.12573,                 1.8906,                 2.0873,                 1.8392,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.6846,                 1.7146,                 1.6405,                0.72877,                0.22968,                0.38551,                0.14377,                 1.9834,                 1.8808,                 1.9169,             0.00086312,             0.00086312,             0.00086312
                      8,                 1.6838,                 1.6284,                 1.6501,                0.85805,                0.22862,                0.33231,                0.14822,                  1.965,                  1.756,                   1.86,              0.0007688,              0.0007688,              0.0007688
                      9,                 1.6157,                 1.5909,                  1.609,                0.83607,                0.24655,                0.35918,                0.16585,                 1.8505,                 1.6601,                  1.774,             0.00067449,             0.00067449,             0.00067449
                     10,                 1.5987,                 1.5606,                 1.5839,                0.82142,                0.26719,                 0.4096,                0.16657,                 1.8641,                 1.7482,                 1.8078,             0.00058017,             0.00058017,             0.00058017
                     11,                  1.564,                 1.5276,                  1.572,                0.77748,                0.26329,                0.34615,                0.16135,                 1.8216,                 1.5658,                 1.7405,             0.00048586,             0.00048586,             0.00048586
                     12,                 1.5422,                 1.4756,                 1.5501,                 0.5504,                0.41027,                0.39956,                0.17336,                 1.8735,                 1.6113,                 1.8084,             0.00039155,             0.00039155,             0.00039155
                     13,                 1.4897,                 1.4179,                 1.5065,                0.85718,                0.24684,                0.37033,                0.16405,                 1.8404,                 1.6035,                 1.7347,             0.00029723,             0.00029723,             0.00029723
                     14,                 1.5065,                 1.4261,                 1.5148,                0.66912,                0.41177,                0.41866,                0.17857,                 1.8306,                 1.5647,                 1.7447,             0.00020292,             0.00020292,             0.00020292
                     15,                 1.4699,                 1.3971,                 1.4904,                 0.4455,                0.44953,                0.43881,                0.18801,                 1.8043,                 1.5308,                 1.7181,              0.0001086,              0.0001086,              0.0001086
